ICORG,CISLOFA,ICDOD,DODAVATEL,UCELPLATBY,CASTKA,DATVYST,DATSPLAT,PLOZKA,UCETNIID,POZN
66003008,18144,24158071,Railway Capital a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2018,26634,2018-10-30,2019-01-17,5811,FD1803075,
66003008,180100282,10288210,Josef Štefl - tour,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,189512.45,2018-10-31,2019-01-23,5811,FD1803451,
66003008,5918,25164538,"Dopravní podnik Města Vlachovo Březí, s.r.o.",Kompenzace slev jízdného ve veřejné osobní dopravěza měsíc 10/2018,12270.83,2018-11-26,2019-01-17,5811,FD1803453,
66003008,1118002827,60193441,ČSAD a.s. Benešov,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,13260.52,2018-11-27,2019-01-23,5811,FD1803455,
66003008,18010154,6661572,Leo Express s.r.o.,Kompenzace slev jízdného ve veřejné osobní dopravě za 2/2018-9/2018,149267.71,2018-11-27,2019-01-18,5811,FD1803460,
66003008,18200103,49447009,ČSAD Kyjov Bus a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,1690830.67,2018-11-30,2019-01-14,5811,FD1803476,
66003008,20182092,27309126,"Quick Bus, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,297739,2018-12-03,2019-01-18,5811,FD1803478,
66003008,180100122,27970809,"PECHOČIAKOVÁ - ZEPRA, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,22428,2018-12-04,2019-01-18,5811,FD1803566,
66003008,2018041,CZ25136046,"Dopravní podnik Kněžmost, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,56574,2018-11-30,2019-01-17,5811,FD1803577,
66003008,9505180025,25508881,Dopravní podnik města Brno  a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,1283475.20,2018-12-03,2019-01-14,5811,FD1803580,
66003008,18010162,6661572,Leo Express s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,8814290.26,2018-11-30,2019-01-14,5811,FD1803589,
66003008,184629,45311919,"Apetit Praha, v.o.s.",občerstvení,8530,2018-11-29,2019-01-08,5175,FD1803592,
66003008,56,40100294,Seifert Václav,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,15027.02,2018-12-04,2019-01-17,5811,FD1803603,
66003008,21800565,25212079,Marbes consulting s.r.o.,pdpora systému HelpDesk za 10-12/2018,9075,2018-12-06,2019-02-04,5168,FD1803620,
66003008,20180107,27637824,Autobusová doprava Kohout s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,27357.75,2018-12-05,2019-01-17,5811,FD1803625,
66003008,28031,25542141,"BK BUS, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,16983.14,2018-12-05,2019-01-18,5811,FD1803644,
66003008,2018090479,29035236,Baronetto s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-11/2018,145574,2018-12-05,2019-01-17,5811,FD1803657,
66003008,12018,74441949,Miroslav Matocha,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-10/2018,18264.29,2018-11-30,2019-01-17,5811,FD1803674,
66003008,180177,27423069,"KŽC Doprava, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,30636.99,2018-11-30,2019-01-17,5811,FD1803686,
66003008,18170,24158071,Railway Capital a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,3709.56,2018-11-29,2019-01-16,5811,FD1803714,
66003008,201802,15009467,Josef Pinkas,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,73733.42,2018-12-13,2019-01-18,5811,FD1803741,
66003008,1802100345,25544811,SEBUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,152591.56,2018-11-27,2019-01-17,5811,FD1803748,
66003008,2180000977,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,47895,2018-11-30,2019-01-16,5811,FD1803759,
66003008,180000970,26114488,ŠVARCTRANS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,111055.25,2018-12-07,2019-01-18,5811,FD1803760,
66003008,52018,5707781,DAILY BUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,129660,2018-12-13,2019-01-18,5811,FD1803778,
66003008,21820185,27651029,AUTODOPRAVA LAMER s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,137526,2018-12-13,2019-01-18,5811,FD1803783,
66003008,1011800034,25620886,ARRIVA STŘEDNÍ ČECHY s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,20530.86,2018-12-14,2019-01-18,5811,FD1803789,
66003008,1011800033,25620886,ARRIVA STŘEDNÍ ČECHY s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,26421.37,2018-12-14,2019-01-18,5811,FD1803790,
66003008,18167,26416832,Kokořínský SOK s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,78117,2018-12-14,2019-01-17,5811,FD1803792,
66003008,2101800387,46905952,"ČSAD Tišnov, spol.s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,724170.86,2018-12-11,2019-01-15,5811,FD1803795,
66003008,30318,2167514,BUDOS - BUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,70354,2018-12-10,2019-01-16,5811,FD1803806,
66003008,1011800035,25620886,ARRIVA STŘEDNÍ ČECHY s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,116192.18,2018-12-14,2019-01-16,5811,FD1803810,
66003008,752018,46757783,Karel Mudroch - Dale,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,128304,2018-12-13,2019-01-18,5811,FD1803815,
66003008,18310222,26166062,InfoConsulting Czech s.r.o.,zajištění provozu a podpory ekon. systému IFS za 11/2018,201586,2018-12-10,2019-02-04,5168,FD1803817,
66003008,200180524,28664116,GW Train Regio a.s,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1668657.29,2018-11-30,2019-01-23,5811,FD1803827,
66003008,2012018,45569380,Miroslav Matocha,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-10/2018,26816.98,2018-12-11,2019-01-17,5811,FD1803828,
66003008,2018306,311391,"CENDIS, s.p.",občerstvení,900,2018-12-03,2019-01-07,5175,FD1803832,
66003008,4452186633,28408527,K Servis Bohemia s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,183385,2018-12-14,2019-01-23,5811,FD1803842,
66003008,2018158,46963120,"PEGAS, hotel, pivovar, pivnice s.r.o.",občerstvení,5840,2018-12-14,2019-01-11,5175,FD1803856,
66003008,2018161,29304792,"Tlumočnický servis, s.r.o.",tlumočení,9680,2018-12-17,2019-01-17,5169,FD1803863,
66003008,2180806,44950993,Oldřich Řezanina,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,33421,2018-12-14,2019-01-17,5811,FD1803868,
66003008,106180288,25013891,Dopravní podnik města Ústí nad Labem,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,604779.02,2018-12-14,2019-01-17,5811,FD1803869,
66003008,2022018,45569380,Miroslav Matocha,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,13681.32,2018-12-11,2019-01-18,5811,FD1803872,
66003008,22018,74441949,Miroslav Matocha,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,10336.02,2018-12-10,2019-01-18,5811,FD1803873,
66003008,1011800037,25620886,ARRIVA STŘEDNÍ ČECHY s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,714913.20,2018-12-15,2019-01-17,5811,FD1803875,
66003008,1042018,70045399,Vlastimil Holešovský,servis páternosterů za 4. Q 2018,38349,2018-12-17,2019-01-08,5169,FD1803882,
66003008,1052018,70045399,Vlastimil Holešovský,záložní zdroj UPS pro osvětlení výtahu Tower,15750,2018-12-17,2019-01-08,5171,FD1803883,
66003008,840047,300268,Střední odborná škola Jarov,malování kancelářských prostor,24000,2018-12-18,2019-01-09,5171,FD1803884,
66003008,410180198,62509870,Jindřichohradecké místní dráhy a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,52470,2018-11-30,2019-01-17,5811,FD1803891,
66003008,91380059,28360010,TD BUS a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,2777039,2018-12-15,2019-01-14,5811,FD1803894,
66003008,129180071,5666112,BusLine MAD Česká Lípa s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,25067,2018-12-18,2019-01-18,5811,FD1803895,
66003008,129180065,5666112,BusLine MAD Česká Lípa s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,50380,2018-11-15,2019-01-17,5811,FD1803896,
66003008,180100046,29120471,LEXTRANS BUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-10/2018,40477,2018-11-19,2019-01-31,5811,FD1803897,
66003008,180100051,29120471,LEXTRANS BUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,23403,2018-12-13,2019-01-31,5811,FD1803898,
66003008,1201880228,45192120,ČSAD Vsetín a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,608568,2018-12-14,2019-01-18,5811,FD1803901,
66003008,180744,3659330,NOVEKO 96 vzdělávání spol. s r.o.,školení - Mgr. Dubský,2200,2018-10-16,2019-01-07,5167,FD1803902,
66003008,180070,25599089,"ASPRA, a.s.",provozní podpora RPSD za 11/2018,75625,2018-12-17,2019-02-11,5168,FD1803903,
66003008,51802981,25220683,"Plzeňské městské dopravní podniky, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,49578.96,2018-12-14,2019-01-18,5811,FD1803904,
66003008,51802694,25220683,"Plzeňské městské dopravní podniky, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,58306.11,2018-11-16,2019-01-17,5811,FD1803905,
66003008,201801,15009467,Josef Pinkas,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2018,59235.44,2018-10-23,2019-01-16,5811,FD1803906,
66003008,2018261,46224513,Milan Šauer,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2018,2169,2018-10-10,2019-01-16,5811,FD1803913,
66003008,2018298,46224513,Milan Šauer,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,1460,2018-10-31,2019-01-16,5811,FD1803914,
66003008,2018329,46224513,Milan Šauer,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1068,2018-12-12,2019-01-16,5811,FD1803915,
66003008,9900722018,255645,Město Kašperské Hory,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,8501,2018-12-14,2019-01-16,5811,FD1803916,
66003008,9900662018,255645,Město Kašperské Hory,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2018,7791,2018-10-15,2019-01-16,5811,FD1803917,
66003008,9900682018,255645,Město Kašperské Hory,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,8624,2018-11-15,2019-01-16,5811,FD1803918,
66003008,180900017,45566437,Pavel Prchal,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-10/2018,43347.22,2018-11-27,2019-01-16,5811,FD1803920,
66003008,180074,24810746,COMINT s.r.o.,podpora a rozvoj IS Námořní plavba,203280,2018-12-10,2019-02-14,6111,FD1803926,
66003008,180111375,49702891,FLY UNITED s.r.o.,ubytování - Nesládek Václav ZPC č. 0521/2018,2575,2018-09-19,2019-02-13,5173,FD1803928,
66003008,180111192,49702891,FLY UNITED s.r.o.,letenka - Šváb Ondřej ZPC č. 547/2018,10892,2018-09-14,2019-02-13,5173,FD1803929,
66003008,90074241,25145444,ICZ a.s.,zabezpečení provozu IS pro vedení CRR za 11/2018,2506576,2018-12-20,2019-01-18,5168,FD1803930,
66003008,90074238,25145444,ICZ a.s.,Služby zvýšeného technického a bezpečnostního dohledu pro kopii CRŘ ...za  11/2018,416216,2018-12-20,2019-01-18,5168,FD1803931,
66003008,90074237,25145444,ICZ a.s.,rozvoj neveřejné části CRŘ,534820,2018-12-20,2019-02-12,6111,FD1803932,
66003008,89080263,27752968,ČSAD BUS Uherské Hradiště a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,4982533,2018-12-18,2019-01-17,5811,FD1803934,
66003008,201801342,25236091,"VATRA Bohemia, spol. s r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,20289.22,2018-12-20,2019-01-21,5811,FD1803935,
66003008,180100377,25166522,"Autobusová doprava,Miroslav Hrouda s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,146060.91,2018-12-15,2019-01-16,5811,FD1803936,
66003008,4100820874,25332473,"Autobusy Karlovy Vary, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,5212317,2018-12-14,2019-01-18,5811,FD1803937,
66003008,2131800064,27229131,ČSAD MHD Kladno a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,4094238,2018-12-14,2019-01-16,5811,FD1803938,
66003008,9011840127,25827405,ARRIVA MORAVA a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,8388921,2018-12-18,2019-01-17,5811,FD1803939,
66003008,9011840126,25827405,ARRIVA MORAVA a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,4981216,2018-12-14,2019-01-18,5811,FD1803940,
66003008,9011840125,25827405,ARRIVA MORAVA a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,3436448,2018-12-14,2019-01-16,5811,FD1803941,
66003008,1800000003,6231292,"Dopravní společnost Ústeckého kraje, příspěvková organizace",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1761461.67,2018-12-19,2019-01-21,5811,FD1803942,
66003008,89080245,27752968,ČSAD BUS Uherské Hradiště a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,4568446,2018-11-16,2019-01-16,5811,FD1803943,
66003008,180079,24810746,COMINT s.r.o.,podpora a rozvoj IS Námořní plavba za 11/2018,8470,2018-12-20,2019-01-29,5168,FD1803944,
66003008,1712180026,27391400,DP CITY s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,16277,2018-12-15,2019-01-16,5811,FD1803945,
66003008,1914180066,25497961,DPÚK a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,9787.38,2018-12-15,2019-01-16,5811,FD1803946,
66003008,18038,26436540,STENBUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,90339,2018-12-18,2019-01-16,5811,FD1803947,
66003008,3711800542,4308697,AUTOCONT a.s.,aplikační podpora ACTA za 11/2018,54450,2018-12-14,2019-02-11,5168,FD1803948,
66003008,3711800540,4308697,AUTOCONT a.s.,aplikační podpora ACTA za 10/2018,54450,2018-12-14,2019-02-11,5168,FD1803949,
66003008,1834311,27244181,Autobusy VKJ  s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1165884.79,2018-11-30,2019-02-11,5811,FD1803950,
66003008,251800140,25095251,"Okresní autobusová doprava Kolín, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,20246,2018-12-20,2019-01-21,5811,FD1803951,
66003008,180100518,26244136,"TREDOS, spol. s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,553256.95,2018-12-14,2019-01-16,5811,FD1803952,
66003008,18310236,26166062,InfoConsulting Czech s.r.o.,zajištění provozu a podpory ek. systému IFS  - školení DÚ,16940,2018-12-18,2019-02-13,5167,FD1803953,
66003008,18331,67398138,Jan Kukla,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-11/2018,135056,2018-12-15,2019-01-17,5811,FD1803956,
66003008,761800001,62242504,Dopravní podnik měst Mostu a Litvínova,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1038287.95,2018-12-14,2019-01-21,5811,FD1803957,
66003008,18256,29370728,"BD Trans, spol. s r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2018,33058,2018-12-07,2019-01-28,5811,FD1803958,
66003008,20190534,61060631,"VITA software, s.r.o.",technická podpora za 4.Q 2018,7593.96,2018-12-27,2019-01-25,5168,FD1803959,
66003008,7820060,48362611,ČSAD autobusy Plzeň a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,8284660.30,2018-12-21,2019-01-25,5811,FD1803960,
66003008,1314180211,25497987,ČSAD  Česká Lípa  a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,2545274.70,2018-12-14,2019-01-16,5811,FD1803961,
66003008,211182972,61328987,INEX Česká republika s.r.o.,technická asistence,1755,2018-12-20,2019-01-18,5169,FD1803962,
66003008,32164619,27582167,Deloitte Advisory s.r.o.,za služby za 11/2018,435600,2018-12-14,2019-01-11,5166,FD1803963,
66003008,9001821200,25945408,ARRIVA VÝCHODNÍ ČECHY a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,12783952.94,2018-12-18,2019-01-17,5811,FD1803964,
66003008,3001800123,26236699,VOJTILA TRANS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,2253833,2018-12-10,2019-01-16,5811,FD1803965,
66003008,18110628,25143468,"SPM Security Paper Mill, a.s.",registrační značky,1232175.91,2018-12-17,2019-01-21,5139,FD1803966,
66003008,180839,13554620,Hnát Jaroslav,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,71867.23,2018-12-17,2019-01-31,5811,FD1803967,
66003008,1813005,1342134,Pavlína Hnátová,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,14788.61,2018-12-17,2019-01-31,5811,FD1803968,
66003008,18673,26206846,Lékařský dům v Mezibranské s.r.o.,provedené prohlídky za 4.Q 2018,32382,2018-12-20,2019-01-18,5169,FD1803969,
66003008,8120003286,61328952,"MSV Liberec, s.r.o.",servisní práce u nákladních výtahů za 4.Q 2018,5320,2018-12-21,2019-01-18,5169,FD1803970,
66003008,18182639,27378225,"Dopravní vzdělávací institut, a.s.","seminář - Ing. Kušnír, Ing. Knížek",21296,2018-12-20,2019-01-18,5167,FD1803971,
66003008,18110635,25143468,"SPM Security Paper Mill, a.s.",registrační  značky,922139.06,2018-12-20,2019-01-21,5139,FD1803972,
66003008,18110636,25143468,"SPM Security Paper Mill, a.s.",registrační  značky,21590.69,2018-12-20,2019-01-21,5139,FD1803973,
66003008,7101800442,48533076,Tourbus a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,457611.10,2018-12-15,2019-01-16,5811,FD1803974,
66003008,1801005,11367032,Pavel Pajer,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,11821.58,2018-12-20,2019-01-31,5811,FD1803975,
66003008,2802565,1279,"Státní tiskárna cenin, s.p.",úpravy ISDT,2056032,2018-12-20,2019-02-14,6111,FD1803976,
66003008,1001803470,48364282,Dopravní podnik  Karlovy Vary a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1301572,2018-12-10,2019-01-24,5811,FD1803977,
66003008,90074364,25145444,ICZ a.s.,zajištění provozu a rozvoje apkace RSV za 11/2018,1524600,2018-12-28,2019-01-25,5168,FD1803978,
66003008,324180173,26950731,VYDOS BUS a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,2971564,2018-12-28,2019-01-28,5811,FD1803979,
66003008,3711800539,4308697,AUTOCONT a.s.,"Zajištění správy, provozu a rozvoje CIS STK za 11/2018",79995.52,2018-12-15,2019-02-08,5168,FD1803980,
66003008,2018010,29018889,"Die Länderbahn GmbH DLB, organizační složka",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,150018.65,2018-12-01,2019-01-18,5811,FD1803981,
66003008,2018011,29018889,"Die Länderbahn GmbH DLB, organizační složka",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,398558,2018-12-01,2019-01-18,5811,FD1803982,
66003008,180184,27423069,"KŽC Doprava, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,12894,2018-12-31,2019-02-11,5811,FD1803983,
66003008,3,63496283,"Znojemská dopravní společnost - PSOTA, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1168476.24,2018-12-31,2019-01-31,5811,FD1803984,
66003008,18264,29370728,"BD Trans, spol. s r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2018,34289,2018-12-21,2019-02-11,5811,FD1803985,
66003008,18200110,49447009,ČSAD Kyjov Bus a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1575382.10,2018-12-31,2019-01-29,5811,FD1803986,
66003008,201861,24742961,"AEROMA, s.r.o.",poradenské a expertní služby za 12/2018,156090,2018-12-31,2019-01-31,5166,FD1803987,
66003008,2151007740,49356089,"AVE CZ odpadové hospodářství, s.r.o.",odvoz odpadu za 12/2018,8808,2018-12-27,2019-01-25,5169,FD1803988,
66003008,2151007357,49356089,"AVE CZ odpadové hospodářství, s.r.o.",odvoz odpadu za 12/2018,16903,2018-12-27,2019-01-25,5169,FD1803989,
66003008,5137642022,47114983,"Česká pošta, s.p.",kvalifikovaný osobní certifikát - zam.,1178.89,2018-12-27,2019-01-10,5169,FD1803990,
66003008,2018041,12771180,Josef Hemelík,Kompenzace slev z jízdného ve veřejné osobní dopravě za 7-11/2018,37178,2018-12-31,2019-01-31,5811,FD1803991,
66003008,2018103947,25635603,WESTPOINT a.s.,"strážní, recepční a ochranná služba za 12/2018",567629,2018-12-31,2019-01-22,5169,FD1803992,
66003008,2018103983,25635603,WESTPOINT a.s.,ostraha objektu MD za 12/2018 - SPOLEČ.AKCE MD,2396,2018-12-31,2019-01-22,5169,FD1803993,
66003008,2018103948,25635603,WESTPOINT a.s.,obsluha ústředny za 12/2018,25613,2018-12-31,2019-01-22,5169,FD1803994,
66003008,2042018,27444899,Excello s.r.o.,zajištění antispamových a antivirových služeb VIRUSFREE ZA 12/2018,12338,2018-12-20,2019-01-18,5168,FD1803995,
66003008,5105390017,60193336,O2 Czech Republic a.s.,telekomunikační služby za 12/2018,65411.46,2018-12-31,2019-01-25,5162,FD1803996,
66003008,135823293,25317075,STUDENT AGENCY k.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 12/2018,13987465,2018-12-31,2019-02-04,5811,FD1803997,
66003008,136820352,28333187,RegioJet a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 12/2018,29952090,2018-12-31,2019-02-04,5811,FD1803998,
66003008,2001800184,49454641,ČAD Blansko a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,2290127.03,2018-12-31,2019-02-01,5811,FD1803999,
66003008,122018,74852973,Jihlová Danuše,služby v oblasti administrativní správy za 12/2018,24000,2018-12-31,2019-01-14,5169,FD1804000,
66003008,2001800048,46345850,"FTL - First Transport Lines, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1320458.22,2018-12-31,2019-02-01,5811,FD1804001,
66003008,3102180865,61249157,"DATASYS spol,",dodávka nástroje pro zajišťování úrovně dostupnosti informací za 12/2018,4343.90,2018-12-31,2019-02-08,5168,FD1804003,
66003008,12019,7491301,Romana Matoušková,administrativní výpomoc za 12/2018,24000,2018-12-31,2019-01-16,5169,FD1804005,
66003008,7101800444,48533076,Tourbus a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,432402.40,2018-12-31,2019-01-16,5811,FD1804006,
66003008,1301800075,60747536,ČSAD Hodonín a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,1317239.98,2018-12-31,2019-02-05,5811,FD1804007,
66003008,21800047,63473089,BORS BUS s.r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2018,3379606,2018-12-31,2019-01-16,5811,FD1804008,
